source_file,rows,repaired_rows,space_pressed_count,session_start_count,session_end_count
user_events_20260610_141031_033.tsv,49,2,2,1,1
user_events_20260610_141202_580.tsv,39,2,2,1,1
user_events_20260610_141310_102.tsv,49,0,2,1,1
user_events_20260610_142216_306.tsv,53,0,2,1,1
user_events_20260610_142325_337.tsv,89,0,2,1,1
user_events_20260610_142511_355.tsv,70,0,2,1,1
user_events_20260610_144455_266.tsv,109,0,2,1,1
user_events_20260610_144640_799.tsv,88,0,2,1,1
user_events_20260610_144754_139.tsv,392,0,2,1,1
user_events_20260610_145432_576.tsv,46,0,2,1,1
user_events_20260610_145538_801.tsv,41,0,2,1,1
user_events_20260610_145619_786.tsv,45,0,2,1,1
user_events_20260610_151932_608.tsv,76,0,2,1,1
user_events_20260610_152122_594.tsv,56,0,2,1,1
user_events_20260610_152243_982.tsv,44,0,2,1,1
user_events_20260610_152641_898.tsv,152,0,2,1,1
user_events_20260610_152858_170.tsv,115,0,2,1,1
user_events_20260610_153046_860.tsv,94,0,2,1,1
user_events_20260610_155503_229.tsv,105,0,2,1,1
user_events_20260610_155739_340.tsv,131,0,2,1,1
user_events_20260610_160000_702.tsv,70,0,2,1,1
user_events_20260610_160513_121.tsv,102,0,2,1,1
user_events_20260610_160655_592.tsv,55,0,2,1,1
user_events_20260610_160750_683.tsv,142,0,2,1,1
user_events_20260610_162625_771.tsv,57,0,2,1,1
user_events_20260610_162749_055.tsv,47,0,2,1,1
user_events_20260610_162839_480.tsv,48,0,2,1,1
user_events_20260610_163328_660.tsv,68,0,2,1,1
user_events_20260610_163504_817.tsv,91,0,2,1,1
user_events_20260610_163623_770.tsv,32,0,2,1,1
user_events_20260610_165105_903.tsv,76,0,2,1,1
user_events_20260610_165229_129.tsv,100,0,2,1,1
user_events_20260610_165356_848.tsv,97,0,2,1,1
user_events_20260610_165835_805.tsv,70,0,2,1,1
user_events_20260610_165937_371.tsv,121,0,2,1,1
user_events_20260610_170054_295.tsv,49,0,2,1,1
